,title,views,date_time,thumb_nail_link,video_link
0,Three 90 Challenge Back with Benefits | GeeksforGeeks,284 views,2 hours ago,https://i.ytimg.com/vi/-d-ZuuF8czQ/hqdefault.jpg,/watch?v=-d-ZuuF8czQ
1,7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,624 views,4 days ago,https://i.ytimg.com/vi/YxRErpzCa7c/hqdefault.jpg,/watch?v=YxRErpzCa7c
2,MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,751 views,5 days ago,https://i.ytimg.com/vi/kxT8AursXXw/hqdefault.jpg,/watch?v=kxT8AursXXw
3,MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,609 views,6 days ago,,/watch?v=zwGcJ62lZ5g
4,CAP THEOREM Explained! | System Design Course - Lec 4 | GeeksforGeeks,317 views,7 days ago,,/watch?v=GwXp-ZZysDU
5,Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,1.4K views,9 days ago,,/watch?v=i8w_2n1GH44
6,7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,922 views,11 days ago,,/watch?v=mpIDwAT7m_0
7,3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,1.8K views,13 days ago,,/watch?v=udtb67DKyq0
8,SHARDING and PARTITIONING | Picking the Right DATABASE | System Design Course Lec 3 | GeeksforGeeks,526 views,2 weeks ago,,/watch?v=eXuOifBVTqg
9,FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,1.7K views,2 weeks ago,,/watch?v=CkiXRQvz4Z4
10,Power of RELATIONAL DATABASE & DATABASE ISOLATION | System Design Course - Lec 2 | GeeksforGeeks,520 views,3 weeks ago,,/watch?v=l-r2aAogQ0g
11,HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,1.3K views,3 weeks ago,,/watch?v=F_9gGyCs3YY
12,DATA SCIENCE PROJECT with JULIUS AI | AI Tools | GeeksforGeeks,805 views,3 weeks ago,,/watch?v=wvcv4y20vWg
13,WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,1K views,3 weeks ago,,/watch?v=AmU9Zi6TNrs
14,Doctor Aaye #successsepareshan Rohan ko Dekhne...,104K views,3 weeks ago,,/watch?v=zbBALFXGy4Y
15,ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,1K views,3 weeks ago,,/watch?v=GF69ZVc1icg
16,The Secrets of a Good SYSTEM DESIGN | System Design Course - Lec 1 | GeeksforGeeks,841 views,4 weeks ago,,/watch?v=_1h5MnI55LM
17,React JS Made Easy with ChatGPT | GeeksforGeeks,1K views,1 month ago,,/watch?v=MSmDIkWEtoc
18,TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,751 views,1 month ago,,/watch?v=0lLmU-VqXzk
19,GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,778 views,1 month ago,,/watch?v=9fTvjjI67Rk
20,GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,1K views,1 month ago,,/watch?v=iFGoMXC4Cxo
21,Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,571 views,1 month ago,,/watch?v=v41P3Y5Xol8
22,TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,1.5K views,1 month ago,,/watch?v=AylOfzYJ2qE
23,Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,32K views,1 month ago,,/watch?v=FVCERWiQSDY
24,TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,721 views,1 month ago,,/watch?v=BFf8n2RrKtM
25,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,948 views,1 month ago,,/watch?v=L66_EOxzLKI
26,Build your own AI image Generation App using MERN | MERN Stack Project | GeeksforGeeks,4.8K views,1 month ago,,/watch?v=stcihX2eavw
27,Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,816 views,1 month ago,,/watch?v=rFXVb2-Rj5k
28,Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,3.9K views,1 month ago,,/watch?v=NjUteXHoOXk
29,Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,821 views,1 month ago,,/watch?v=FAluaVzy4VM
